tracking_number,package_type,carrier,weight_kg,length_cm,width_cm,height_cm,volume_cm3,origin_city,origin_state,origin_zip,destination_city,destination_state,destination_zip,current_status,estimated_delivery,actual_delivery,special_handling,insurance_value,signature_required,description
Fed262013051,Express,FedEx,46.99,75.15,62.2,73.04,341413.06,person person,Iowa,98801,person person,Vermont,41150,PackageStatus.IN_TRANSIT,2025-05-05 23:08:24,,False,,False,"Express package weighing 46.99kg, dimensions: 75.15x62.2x73.04cm, volume: 341413.06cm³"
UPS915351342,Refrigerated,UPS,11.22,14.42,93.11,31.56,42373.91,person person,Tennessee,70115,person personperson,Mississippi,20469,PackageStatus.EXCEPTION,2025-05-13 06:46:40,,True,,False,"Refrigerated package weighing 11.22kg, dimensions: 14.42x93.11x31.56cm, volume: 42373.91cm³"
UPS948274525,Overnight,UPS,6.66,89.14,97.28,10.25,88883.28,personperson,Indiana,71240,person person,Virginia,22212,PackageStatus.IN_TRANSIT,2025-05-16 22:43:59,,False,,True,"Overnight package weighing 6.66kg, dimensions: 89.14x97.28x10.25cm, volume: 88883.28cm³"
USP11039782,Standard,USPS,37.38,69.27,42.03,55.14,160535.59,person person,Alaska,16731,personperson,Idaho,83776,PackageStatus.DELIVERED,2025-05-16 23:28:46,,False,,False,"Standard package weighing 37.38kg, dimensions: 69.27x42.03x55.14cm, volume: 160535.59cm³"
DHL456680458,Fragile,DHL,43.51,67.49,95.46,56.13,361622.88,person personperson,Colorado,44169,person personperson,Alaska,40640,PackageStatus.DELIVERED,2025-05-17 07:26:28,,True,2618.55,False,"Fragile package weighing 43.51kg, dimensions: 67.49x95.46x56.13cm, volume: 361622.88cm³"
DHL648767285,International,DHL,37.93,81.03,90.9,99.46,732585.26,person personperson,Colorado,15148,person person,Iowa,22322,PackageStatus.DELIVERED,2025-05-02 21:09:43,,False,,True,"International package weighing 37.93kg, dimensions: 81.03x90.9x99.46cm, volume: 732585.26cm³"
DHL996129545,Overnight,DHL,32.94,88.29,20.2,40.75,72675.91,person personperson,Kansas,70140,person person,Arkansas,35363,PackageStatus.IN_TRANSIT,2025-05-04 00:28:37,,False,1509.88,False,"Overnight package weighing 32.94kg, dimensions: 88.29x20.2x40.75cm, volume: 72675.91cm³"
DHL613438002,Hazardous Materials,DHL,32.5,39.34,37.16,52.91,77347.77,person person,Hawaii,43865,personperson,Mississippi,86221,PackageStatus.DELIVERED,2025-05-12 09:21:37,,True,,False,"Hazardous Materials package weighing 32.5kg, dimensions: 39.34x37.16x52.91cm, volume: 77347.77cm³"
Fed239285947,Fragile,FedEx,24.9,96.27,12.62,7.88,9573.63,personperson,New York,72752,personperson,Illinois,42388,PackageStatus.OUT_FOR_DELIVERY,2025-05-15 10:46:48,,True,,False,"Fragile package weighing 24.9kg, dimensions: 96.27x12.62x7.88cm, volume: 9573.63cm³"
Fed879254548,Refrigerated,FedEx,47.46,52.08,63.97,85.36,284381.76,person person,Arkansas,95601,personperson,Missouri,31283,PackageStatus.IN_TRANSIT,2025-05-07 15:33:45,,True,,True,"Refrigerated package weighing 47.46kg, dimensions: 52.08x63.97x85.36cm, volume: 284381.76cm³"
